Vardenis            Pavardenis          Galutinis(Vid.)     
Vardenis1           Pavardenis1         5.08                
Vardenis2           Pavardenis2         6.16                
Vardenis3           Pavardenis3         3.4                 
Vardenis4           Pavardenis4         4.4                 
Vardenis5           Pavardenis5         5.52                
Vardenis6           Pavardenis6         4.68                
Vardenis7           Pavardenis7         3.84                
Vardenis8           Pavardenis8         2.64                
Vardenis9           Pavardenis9         7.12                
Vardenis10          Pavardenis10        8.12                
Vardenis11          Pavardenis11        6.28                
Vardenis12          Pavardenis12        5.6                 
Vardenis13          Pavardenis13        2.8                 
Vardenis14          Pavardenis14        5.56                
Vardenis15          Pavardenis15        7.32                
Vardenis16          Pavardenis16        8.12                
Vardenis17          Pavardenis17        5.84                
Vardenis18          Pavardenis18        6.84                
Vardenis19          Pavardenis19        3.72                
Vardenis20          Pavardenis20        4.28                
Vardenis21          Pavardenis21        6.64                
Vardenis22          Pavardenis22        1.96                
Vardenis23          Pavardenis23        3.04                
Vardenis24          Pavardenis24        5.28                
Vardenis25          Pavardenis25        8.36                
Vardenis26          Pavardenis26        7.16                
Vardenis27          Pavardenis27        7.04                
Vardenis28          Pavardenis28        3.76                
Vardenis29          Pavardenis29        2.04                
Vardenis30          Pavardenis30        5.96                
Vardenis31          Pavardenis31        7.8                 
Vardenis32          Pavardenis32        5.2                 
Vardenis33          Pavardenis33        6.72                
Vardenis34          Pavardenis34        3.76                
Vardenis35          Pavardenis35        5.36                
Vardenis36          Pavardenis36        4.92                
Vardenis37          Pavardenis37        6.72                
Vardenis38          Pavardenis38        7.64                
Vardenis39          Pavardenis39        7.72                
Vardenis40          Pavardenis40        4.44                
Vardenis41          Pavardenis41        4.16                
Vardenis42          Pavardenis42        5.16                
Vardenis43          Pavardenis43        6.44                
Vardenis44          Pavardenis44        6.44                
Vardenis45          Pavardenis45        7.44                
Vardenis46          Pavardenis46        4.52                
Vardenis47          Pavardenis47        6.84                
Vardenis48          Pavardenis48        5.6                 
Vardenis49          Pavardenis49        7.44                
Vardenis50          Pavardenis50        7.84                
Vardenis51          Pavardenis51        6.4                 
Vardenis52          Pavardenis52        2.68                
Vardenis53          Pavardenis53        7.16                
Vardenis54          Pavardenis54        9.44                
Vardenis55          Pavardenis55        6.16                
Vardenis56          Pavardenis56        3.44                
Vardenis57          Pavardenis57        5.52                
Vardenis58          Pavardenis58        5.6                 
Vardenis59          Pavardenis59        4.12                
Vardenis60          Pavardenis60        3.36                
Vardenis61          Pavardenis61        7.84                
Vardenis62          Pavardenis62        2.76                
